City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Quatre Cocos,MU,-20.2078,57.7625,73.51,77,24,10.51,few clouds
319,Zhigansk,RU,66.7697,123.3711,-25.13,99,74,7.74,broken clouds
320,Las Matas De Farfan,DO,18.8731,-71.5166,84.51,58,33,1.7,light rain
321,Skibbereen,IE,51.55,-9.2667,55.11,96,100,2.53,overcast clouds
322,Anadyr,RU,64.75,177.4833,-12.5,83,86,4.47,fog
323,Rio Grande,BR,-32.035,-52.0986,80.71,73,76,13.04,broken clouds
324,Dingle,PH,10.9995,122.6711,75.69,94,98,6.73,overcast clouds
325,Pemangkat,ID,1.1667,108.9667,77.36,87,100,4.16,light rain
326,Iglesias,IT,39.3114,8.535,64.78,89,12,3.33,few clouds
327,Pedro Juan Caballero,PY,-22.5472,-55.7333,89.56,43,40,4.61,scattered clouds
328,Vaitape,PF,-16.5167,-151.75,78.17,76,100,4.5,light rain
329,Coronado,US,32.6859,-117.1831,74.98,31,100,3.0,overcast clouds
330,Belaya Gora,RU,68.5333,146.4167,-28.89,100,89,1.16,overcast clouds
331,Konstantinovka,RU,49.6167,127.9833,18.0,93,100,9.17,overcast clouds
332,Wewak,PG,-3.5534,143.6268,77.11,89,98,6.76,overcast clouds
333,Boca Do Acre,BR,-8.7522,-67.3978,87.67,53,100,5.12,overcast clouds
334,Banda Aceh,ID,5.5577,95.3222,76.1,89,100,4.92,light rain
335,Xapuri,BR,-10.6517,-68.5044,91.72,43,76,5.21,broken clouds
336,Moerai,PF,-22.4333,-151.3333,69.51,71,100,15.3,overcast clouds
337,Kahului,US,20.8947,-156.47,79.84,67,45,11.01,scattered clouds
338,Chipinge,ZW,-20.1883,32.6236,64.02,94,10,6.98,light rain
339,Victoria,HK,22.2855,114.1577,76.32,88,0,4.0,clear sky
340,Maldonado,UY,-34.6667,-54.9167,81.79,52,23,11.48,few clouds
341,Buraydah,SA,26.326,43.975,72.05,65,100,17.22,overcast clouds
342,Moanda,GA,-1.5575,13.2178,70.12,97,85,1.1,light rain
343,Guarda,PT,40.5373,-7.2658,44.24,75,4,3.98,clear sky
