City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Deniliquin,AU,2022-11-09 18:59:37,-35.5333,144.9667,63.25,60,100,13.31
242,Otradnoye,RU,2022-11-09 18:59:37,59.7775,30.8181,50.09,89,100,8.79
243,Khadyzhensk,RU,2022-11-09 18:59:37,44.4256,39.5319,49.03,65,92,1.14
244,Smithers,CA,2022-11-09 18:59:38,54.7804,-127.1743,5.32,78,75,8.05
245,Alofi,NU,2022-11-09 18:51:57,-19.0595,-169.9187,76.41,75,35,21.07
246,Waddan,LY,2022-11-09 18:59:38,29.1614,16.139,66.61,52,0,7.0
247,Saint George,US,2022-11-09 18:57:07,37.1041,-113.5841,51.44,60,67,4.0
248,Hetauda,NP,2022-11-09 18:59:38,27.4284,85.0322,70.95,87,3,4.52
249,Urbana,US,2022-11-09 18:59:39,40.1106,-88.2073,76.73,40,65,8.99
250,Athabasca,CA,2022-11-09 18:59:39,54.7169,-113.2854,5.41,80,6,8.88
251,Dandong,CN,2022-11-09 18:59:39,40.1292,124.3947,50.16,88,100,3.2
252,Dunda,TZ,2022-11-09 18:59:40,-8.1167,34.25,71.11,57,99,0.74
253,Olgina,EE,2022-11-09 18:59:41,59.3953,28.1253,47.59,90,100,9.93
254,Kruisfontein,ZA,2022-11-09 18:59:41,-34.0033,24.7314,59.88,81,35,9.91
255,Mahebourg,MU,2022-11-09 18:59:41,-20.4081,57.7,73.69,78,40,5.75
256,Fortuna,US,2022-11-09 18:59:42,40.5982,-124.1573,52.99,89,0,3.44
257,North Bend,US,2022-11-09 18:55:50,43.4065,-124.2243,51.08,93,0,10.36
258,Aguai,BR,2022-11-09 18:59:42,-22.0594,-46.9786,83.5,44,30,2.39
259,Vostok,RU,2022-11-09 18:50:42,46.4856,135.8833,22.03,65,28,7.83
260,Sarany,RU,2022-11-09 18:59:42,58.5,58.8833,29.88,98,100,7.25
261,Januaria,BR,2022-11-09 18:59:43,-15.4833,-44.3667,88.05,39,74,6.73
262,Pitimbu,BR,2022-11-09 18:59:43,-7.4706,-34.8086,84.79,68,10,10.33
263,Taoudenni,ML,2022-11-09 18:59:44,22.6783,-3.9836,81.45,11,100,8.57
264,Nioro,GM,2022-11-09 18:59:44,13.35,-15.75,84.58,33,0,3.91
265,Bonthe,SL,2022-11-09 18:59:44,7.5264,-12.505,79.5,78,27,6.64
266,Conceicao Da Barra,BR,2022-11-09 18:59:45,-18.5933,-39.7322,78.03,68,100,10.0
267,Araouane,ML,2022-11-09 18:59:45,18.9048,-3.5265,78.19,11,3,5.66
268,Kabinda,CD,2022-11-09 18:55:23,-6.1333,24.4833,65.08,98,100,1.86
269,Gizo,SB,2022-11-09 18:59:46,-8.103,156.8419,82.33,79,100,10.0
270,Larsnes,NO,2022-11-09 18:59:46,62.2028,5.5773,49.82,74,95,10.92
271,Zumarraga,PH,2022-11-09 18:59:47,11.6388,124.8417,77.05,87,97,3.83
272,Chuy,UY,2022-11-09 18:50:44,-33.6971,-53.4616,68.43,58,1,11.59
273,Jiayuguan,CN,2022-11-09 18:59:47,39.8167,98.3,35.64,46,7,5.39
274,San Vicente,AR,2022-11-09 18:59:47,-26.6167,-54.1333,80.33,25,67,3.49
275,Marienburg,PL,2022-11-09 18:59:48,54.0359,19.0266,48.04,78,100,10.85
276,Kahului,US,2022-11-09 18:58:17,20.8947,-156.47,79.97,74,5,4.0
277,Porosozero,RU,2022-11-09 19:00:48,62.7191,32.727,30.56,94,95,2.35
278,Talnakh,RU,2022-11-09 18:51:50,69.4865,88.3972,-10.55,100,99,1.3
279,Goundi,TD,2022-11-09 19:00:49,9.3627,17.366,82.42,38,22,1.23
280,Victor Harbor,AU,2022-11-09 19:00:50,-35.5667,138.6167,62.67,88,93,10.96
281,San Angelo,US,2022-11-09 19:00:50,31.4638,-100.437,79.02,58,75,17.27
282,Henties Bay,NA,2022-11-09 19:00:51,-22.116,14.2845,59.92,88,0,8.5
283,Port Blair,IN,2022-11-09 19:00:51,11.6667,92.75,80.33,80,100,8.75
284,Mogadishu,SO,2022-11-09 19:00:11,2.0371,45.3438,79.07,85,88,12.37
285,Tallahassee,US,2022-11-09 19:00:20,30.4383,-84.2807,69.67,61,99,4.0
286,Cap Malheureux,MU,2022-11-09 18:53:01,-19.9842,57.6142,71.47,72,8,3.0
287,Umm Lajj,SA,2022-11-09 19:00:52,25.0213,37.2685,74.57,59,0,8.21
288,Fuyu,CN,2022-11-09 19:00:52,45.1833,124.8167,34.72,60,12,6.67
289,Ternate,ID,2022-11-09 19:00:53,0.8,127.4,80.73,81,100,2.95
290,Calabasas,US,2022-11-09 18:59:35,34.1578,-118.6384,59.86,71,6,5.01
291,Kavieng,PG,2022-11-09 19:00:54,-2.5744,150.7967,82.62,74,86,5.14
292,Aleksandrovka,UA,2022-11-09 19:00:55,46.8383,32.7612,45.19,60,13,5.01
